COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Case_Fatality_Ratio,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,Alcoholic Beverages,Animal Products,Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Sugar & Sweeteners,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished,Predicted Correlations
Albania,Europe,275416,9570.366,225,7.818,44,3497,121.516,1,0.035,0,1.26971110613742,ALB,EURO,REPORTING,5/1/2022,2825500,1299321,98.2,45.655,1230636,43.242,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/13/2021,5,295543,10.385,1.6719,18.7684,5.7817,0.5815,0.2126,6.7861,1.8845,15.7213,1.5367,0.1515,0.3261,11.7753,31.2304,22.3,6.2,0.0536
Algeria,Africa,265800,606.143,18,0.041,0,6875,15.678,0,0.0,0,2.58651836282857,DZA,AFRO,REPORTING,5/8/2022,15205854,7840131,34.676,17.879,6481186,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",1/30/2021,4,514063,1.172,0.2711,9.6334,13.6816,0.5277,0.2416,6.3801,1.1305,7.6189,1.8342,0.1152,1.031,11.6484,40.3651,26.6,3.9,1.01
Angola,Africa,99287,302.094,0,0.0,0,1900,5.781,0,0.0,0,1.91364277344138,AGO,AFRO,REPORTING,5/8/2022,17896626,12059919,54.453,36.694,6327907,19.253,SII - Covishield,3/10/2021,1,369899,1.125,5.8087,4.9278,9.1085,0.0587,1.7707,6.0005,2.0571,0.8311,1.8495,0.0061,0.6463,2.3041,45.0722,6.8,25.0,4.07
Argentina,Americas,9101319,20137.544,17646,39.043,0,128729,284.825,76,0.168,0,1.41439790274325,ARG,AMRO,REPORTING,5/6/2022,99115622,41035648,219.303,90.795,37278843,82.483,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/29/2020,7,21113527,46.716,4.2672,19.3454,8.4102,0.9979,0.4693,6.0435,7.0421,10.2328,3.0536,0.02,0.9541,4.3503,30.6559,28.5,4.6,2.69
Armenia,Europe,422900,14271.57,23,0.776,0,8623,291.0,1,0.034,0,2.0390188325461,ARM,EURO,REPORTING,4/17/2022,2154689,1131339,72.7,38.179,987673,33.331,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",6/16/2021,8,41766,1.409,0.4014,13.564,7.2982,0.5783,0.2896,6.0989,2.2675,9.9407,2.6579,0.1108,0.4705,16.7019,36.4358,20.9,4.3,0.107
Australia,Western Pacific,6328508,24817.791,305766,1199.088,48015,7565,29.667,254,0.996,49,0.119539245052068,AUS,WPRO,REPORTING,5/7/2022,58068709,22288752,227.721,87.407,21553633,84.524,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/21/2021,5,13497494,52.932,5.5436,21.4175,5.4979,0.4428,1.4264,4.1883,6.7049,12.1018,2.5364,0.3176,1.2798,5.1406,28.5806,30.4,0.0,0.549
Austria,Europe,4231050,47534.205,36813,413.58,4787,19816,222.625,51,0.573,3,0.468346951421613,AUT,EURO,REPORTING,5/1/2022,18278212,6823343,205.3,76.658,6608360,74.242,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/30/2020,6,5197422,58.391,7.0215,19.5654,6.2116,0.7884,0.7562,4.6069,4.681,12.3776,2.6094,0.2367,0.8109,5.1098,30.4338,21.9,0.0,0.133
Azerbaijan,Europe,792638,7817.579,53,0.523,6,9709,95.757,0,0.0,0,1.22489328217854,AZE,EURO,REPORTING,4/24/2022,13499692,5362072,133.1,52.885,4843392,47.769,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/20/2021,5,3294230,32.49,3.5969,11.6416,13.0898,0.5593,0.202,4.7988,2.1513,8.3212,1.5523,0.1906,0.2235,10.0755,38.3584,19.9,0.0,0.366
Bangladesh,South-East Asia,1952855,1185.781,112,0.068,0,29127,17.686,0,0.0,0,1.49150644174599,BGD,SEARO,REPORTING,5/10/2022,258739535,128838366,157.108,78.231,116692702,70.856,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/27/2021,8,13208467,8.02,0.0031,5.1926,29.8045,0.2957,2.5221,2.8655,0.4191,1.8778,0.9285,0.0934,0.7615,3.6405,44.8033,3.4,14.7,9.28
Barbados,Americas,73856,25700.217,3363,1170.248,264,430,149.63,32,11.135,24,0.582212982870923,BRB,AMRO,REPORTING,5/6/2022,361863,161776,125.92,56.294,152018,52.899,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",1/8/2021,5,48069,16.727,3.565,12.4976,8.0666,0.7792,3.275,5.8723,5.8477,2.2041,4.3344,0.0852,0.8677,5.4725,37.5167,24.8,3.9,0.00642
